,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
4656,13.3 inches,1920 x 1080 pixels,1.6 GHz Intel Core i5,8 GB LPDDR3,256 GB Flash Memory Solid State,NVIDIA GeForce MX150,nVidia,Dedicated,3,,ASUS,ASUS ZenBook 13 UX331,Windows 10 Home,2.7 pounds,12.2 x 8.5 x 0.5 inches,12.2 x 8.5 x 0.5 inches,Intel,4,256,Solid State,10000 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"June 29, 2018",$869.00
4657,13.3 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB DDR4,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,Dell,Windows 10 Home,3.59 pounds,12.1 x 8.5 x 0.6 inches,12.12 x 8.49 x 0.61 inches,Intel,4,256 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"September 20, 2019",$726.00
4658,14 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB DDR4,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Lenovo,ThinkPad T480 Commercial Notebook PC,Windows 10 Pro,12.3 ounces,9.2 x 13.2 x 0.8 inches,9.15 x 13.25 x 0.79 inches,Intel,4,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"January 1, 2019",$850.49
4659,17.3 inches,1600 x 900,1.8 GHz Intel Core i7,32 GB,512 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10 Home,5.71 pounds,12.8 x 9.2 x 0.7 inches,12.8 x 9.2 x 0.7 inches,Intel,4,512 GB,Serial ATA,,,1 Lithium ion batteries required.,"August 17, 2019","$1,194.00"
4660,14 inches,1920x1080,1.1 GHz Intel Core i5,32 GB,512 GB SSD,Intel UHD Graphics,,,,,HP,dq1033cl,Windows 10,4.6 pounds,14 x 10.2 x 0.8 inches,14.02 x 10.2 x 0.82 inches,Intel,4,,Solid State,,,,"November 19, 2019",$729.00
4661,15.6 inches,1366 x 768,1.1 GHz Intel Celeron,4 GB,500 GB HDD,Intel UHD Graphics 600,Intel,,,,HP,HP,Windows 10 Home,4.49 pounds,15 x 9.9 x 0.9 inches,14.96 x 9.9 x 0.93 inches,Intel,2,,Serial ATA,,,,"November 7, 2019",$291.58
4662,13.3 inches,1440x900,1.4 GHz Intel Core i5,2 GB DDR3,64 GB SSD,Intel HD Graphics 5000,intel,Integrated,,,Apple,MC965LL/A,Mac OS X,2.38 pounds,7.6 x 11.8 x 0.7 inches,7.6 x 11.8 x 0.7 inches,Intel,2,,ATA,,,1 Lithium Polymer batteries required.,"October 1, 2015",$449.51
4663,15.6 inches,1366 x 768,1.8 GHz Intel Celeron,8 GB,128 GB SSD,Intel UHD Graphics 610,Intel,,,,Lenovo,Lenovo,Windows 10 Home,4.08 pounds,14.3 x 9.9 x 0.8 inches,14.3 x 9.9 x 0.8 inches,Intel,2,,Serial ATA,,,,"November 20, 2019",$339.84
4664,11.6 inches,1366x768,2.6 GHz AMD A Series,8 GB DDR4,128 GB flash_memory_solid_state,AMD Radeon R5,amd,,,,Dell,Dell Inspiron,Windows 10,4.37 pounds,11.5 x 8 x 0.8 inches,11.5 x 7.95 x 0.82 inches,AMD,2,128 GB,Solid State,,,,"April 18, 2019",$355.00
4665,14 inches,1920x1080,1.1 GHz Intel Core i5,4 GB DDR4,128 GB,Intel Iris Plus Graphics,,,,,HP,HP,Windows 10 S,4.35 pounds,13.8 x 8.9 x 0.7 inches,13.76 x 8.86 x 0.71 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"November 15, 2019",$359.00
4666,11.6 inches,1366 x 768,1.1 GHz Celeron N3350,4 GB,64 GB,Intel HD Graphics 500,intel,Integrated,,,Spin 1,Acer SPIN 1,Windows 10,4.54 pounds,,,Intel,2,64 GB,Solid State,,,,"August 3, 2019",
4667,13.3 inches,1920 x 1080,1.8 GHz Core i7 Family,8 GB,256 GB SSD,Intel,intel,Integrated,,,Lenovo,Thinkbook 13s,Windows 10 Pro,2.91 pounds,12.1 x 8.5 x 0.6 inches,12.11 x 8.52 x 0.63 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"November 5, 2019",$769.99
4668,15.6 inches,,3.4 GHz Intel Core i5,8 GB,512 GB SSD,,intel,integrated,,,Dell,Dell,Windows 10,7 pounds,15 x 10 x 0.8 inches,15.04 x 9.96 x 0.8 inches,Intel,4,512 GB,Serial ATA,,,,"April 17, 2018",$669.97
4669,14 inches,1920 x 1080,1.1 GHz Intel Core i3,8 GB,64 GB SSD,Intel HD Graphics 620,intel,Integrated,,13 hours,HP,HP,Chrome OS,3.97 pounds,,,Intel,2,,Serial ATA,,,1 Lithium ion batteries required.,"November 20, 2018",$499.00
4670,17.3 inches,1920x1080,2.3 GHz AMD R Series,16 GB,1 GB PCIe SSD,NVIDIA GeForce GTX 1650 4GB GDDR5,nvidia,dedicated,,5 hours,ASUS,TUF Gaming,Windows 10,5 pounds,12.8 x 9.2 x 0.7 inches,12.8 x 9.2 x 0.7 inches,AMD,4,,PCIE x 4,,,,"July 11, 2019","$1,089.47"
4671,13.3 inches,3840 x 2160,1.8 GHz Intel Core i7,8 GB,512 GB flash_memory_solid_state,Intel UHD Graphics 620,,Integrated,,22.5 hours,HP,Spectre,Windows 10,2.93 pounds,12.2 x 8.6 x 0.6 inches,12.16 x 8.58 x 0.58 inches,Intel,4,512,Solid State,,,1 Lithium ion batteries required.,"December 30, 2018","$1,239.98"
4672,13.3 inches,1920 x 1080 pixels,0.9 GHz core_m,8 GB DDR3,265 GB flash_memory_solid_state,Intel HD Graphics 515 Integrated,intel,Integrated,,12 hours,ASUS,ASUS ZenBook,Windows 10,2.9 pounds,8.7 x 12.7 x 0.5 inches,8.7 x 12.7 x 0.5 inches,Intel,2,256.0,SSA,,,1 Lithium ion batteries required. (included),"June 20, 2018",
4673,,,,,,,,,,,,,,0.16 ounces,1 x 0.8 x 0.1 inches,,,,,,,,,,$99.99
4674,17.3 inches,1600 x 900,3.9 GHz Intel Core i5,8 GB,1 TB HDD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10,5.4 pounds,10.7 x 16.3 x 1 inches,10.7 x 16.3 x 1 inches,Intel,2,,Serial ATA,,,,"July 28, 2019",$669.99
4675,12.3 inches,1920x1080,2.2 GHz Snapdragon,4 GB DDR4,128 GB flash_memory_solid_state,Qualcomm Adreno 540,,,,,HP,HP ENVY,Windows 10 S,6.06 pounds,11.5 x 8.3 x 0.3 inches,11.53 x 8.28 x 0.27 inches,Qualcomm,8,,Solid State,,,,"October 9, 2019",$694.00
4676,13.3 inches,1920 x 1080,2.2 GHz AMD A Series,16 GB,1 TB SSD,AMD Radeon Vega 10,AMD,,,,Dell,Dell,Windows 10 Home,3.84 pounds,12.7 x 8.8 x 0.7 inches,12.7 x 8.8 x 0.7 inches,AMD,4,,Serial ATA,,,,"November 5, 2019",$827.86
4677,14 inches,,1.7 GHz Core i5-4210U,8 GB,256 GB SSD,Intel HD Graphics 4400,,Integrated,,,HP,Elitebook,Windows 10,3.55 pounds,9.1 x 13.3 x 0.7 inches,9.1 x 13.3 x 0.7 inches,Intel,2,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"July 28, 2018",$269.99
4678,15.6 inches,1920x1080,2 GHz AMD A Series,20 GB,128 GB flash_memory_solid_state,AMD Radeon Vega 8,amd,integrated,,,Lenovo,Ideapad,Windows 10,5.11 pounds,14.1 x 9.6 x 0.8 inches,14.1 x 9.6 x 0.76 inches,AMD,4,128 GB,Solid State,,,,"April 2, 2019",$537.84
4679,15.6 inches,1920 x 1080,2.4 GHz Intel Core i5,8 GB,256 GB SSD,Intel HD Graphics 520,intel,Integrated,,,HP,ProBook 650 G2,Windows 10 Pro 64-bit,,,,Intel,1,,Serial ATA,,,,"October 12, 2019",$300.00
4680,15.6 inches,,4 GHz Intel Core i7,8 GB,2256 GB Hybrid,Intel HD Graphics 620,intel,Integrated,,,Dell,Dell,Windows 10,4.8 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,4,256 GB,Serial ATA,,,1 Lithium ion batteries required.,"April 24, 2018",$999.99
4681,14 inches,,4 GHz Intel Core i7,8 GB,128 GB flash_memory_solid_state,Intel,amd,Integrated,,,Dell,Vostro,Windows 10,2.56 pounds,16 x 14 x 3 inches,16 x 14 x 3 inches,Intel,1,128 GB,Solid State,5400 RPM,,1 Lithium ion batteries required. (included),"March 10, 2019",
4682,14 inches,,2.4 GHz Intel Core i5,16 GB,500 GB,Intel HD Integrated Graphics,,,,,Lenovo,ThinkPad,Windows 10 Home,,13.3 x 9.2 x 0.8 inches,13.3 x 9.2 x 0.8 inches,Intel,2,,Serial ATA,,,,"November 25, 2019",$332.98
4683,15.6 inches,1920x1080,2.6 GHz AMD R Series,4 GB,128 GB SSD,Vega 3 Graphics,,,,,ASUS,VivoBook,Windows 10,,14.1 x 9.1 x 0.8 inches,14.06 x 9.07 x 0.78 inches,AMD,2,,Serial ATA-600,,,1 Lithium ion batteries required. (included),"November 22, 2019",$325.00
4684,10.1 inches,1280 x 800,1.33 GHz Intel Atom,32 GB,emmc,integrated hd graphics,,integrated,,6 hours,RCA,rca cambio 10,Windows 10 Home,2 pounds,,,Intel,4,32 GB,,,,1 Lithium Polymer batteries required. (included),"June 19, 2018",$129.99
4685,15.6 inches,1920x1080,1.1 GHz Intel Core i7,64 GB,2 TB flash_memory_solid_state,NVIDIA GeForce GTX 1650,NVIDIA,dedicated,,2 hours,XOTIC PC,Prestige 15,Windows 10 Pro,3.64 pounds,14.4 x 9.2 x 0.6 inches,14.4 x 9.2 x 0.63 inches,Intel,6,,Solid State,,,,"October 9, 2019",
