,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
0,13.3 inches,1920 x 1080 pixels,4.6 GHz Intel Core i7,16 GB DDR3,512 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,2,,ASUS,Asus ZenBook 13,Windows 10 Pro,2.6 pounds,11.9 x 7.4 x 0.7 inches,11.9 x 7.4 x 0.7 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 22, 2019",$899.99
1,14 inches,1366 x 768 pixels,2.1 GHz Core i3 Family,4 GB SO-DIMM,128 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,2,8 hours,Lenovo,Flex 14,Windows 10,3.52 pounds,12.9 x 9 x 0.7 inches,12.91 x 9.02 x 0.7 inches,Intel,1,128.00,PCIE x 4,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"May 20, 2019",$488.83
2,15.6 inches,1920 x 1080 pixels,1.6 GHz Intel Core i5,8 GB DDR4,1000 GB Mechanical Hard Drive,Intel UHD Graphics 620,Intel,Integrated,1,5 hours,ASUS,F510UA-AH51,Windows 10 Home,3.7 pounds,14.2 x 9.6 x 0.8 inches,14.2 x 9.6 x 0.8 inches,Intel,4,,Serial ATA-600,5400 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"October 9, 2017",$725.00
3,14 inches,1366 x 768,2.2 GHz AMD A4,4 GB SDRAM,32 GB Flash Memory Solid State,,AMD,Integrated,,,HP,HP Stream Laptop 14-ds0010nr,Windows 10 S,3.21 pounds,8.9 x 13.3 x 0.7 inches,8.88 x 13.27 x 0.73 inches,AMD,2,32.00,Serial ATA,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"June 2, 2019",$199.99
4,13.3 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB,512 GB SSD,Intel UHD Graphics 620,intel,Integrated,,,HP,Pavilion,Windows 10,4.13 pounds,12.2 x 8.3 x 0.6 inches,12.24 x 8.3 x 0.61 inches,Intel,4,1 TB,Serial ATA,,,1 Lithium ion batteries required.,"March 1, 2019",$819.00
5,15.6 inches,1920 x 1080 pixels,2.4 GHz Intel Core i5,8 GB DDR4,512 GB Flash Memory Solid State,NVIDIA GeForce,NVIDIA,Dedicated,2,,Lenovo,L340 Gaming,Windows 10,4.84 pounds,14.3 x 10 x 0.9 inches,14.29 x 10.02 x 0.94 inches,Intel,1,,Solid State,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"July 15, 2019",$679.30
6,11.6 inches,2560 x 1440,2 GHz Celeron J3355,6 GB LPDDR3,128 GB flash_memory_solid_state,Intel HD Graphics 500,,Integrated,,6 hours,XIDU,PhilBook Pro,Windows 10,2.45 pounds,10.9 x 7.8 x 0.4 inches,10.9 x 7.8 x 0.4 inches,Intel,2,128 GB,USB 3.0,,,1 Lithium ion batteries required. (included),"May 6, 2019",
7,15.6 inches,1366x768,1.1 GHz Pentium,SDRAM,1 TB mechanical_hard_drive,Intel,intel,Integrated,,5 hours,HP,Intel,,4.1 pounds,15 x 10 x 0.9 inches,14.96 x 9.99 x 0.94 inches,Intel,4,,,5400 RPM,,1 Lithium Metal batteries required. (included),"November 10, 2018",$289.99
8,15.6 inches,1366x768,2.7 GHz 80486SLC,8 GB DDR,128 GB flash_memory_solid_state,,intel,Dedicated,2,,Dell,Dell Inspiron,Windows 10,1 pounds,9.1 x 9.1 x 9.1 inches,9.1 x 9.1 x 9.1 inches,Intel,2,128.00,ATA-4,12 RPM,BD-R,1 Lithium Metal batteries required. (included),"November 25, 2018",$322.00
9,13.3 inches,3840 x 2160,1.8 GHz Core i7 Family,16 GB DDR4,512 GB Flash Memory Solid State,NVIDIA GeForce MX250 Graphics,NVIDIA,Dedicated,,,HP,13-aq0044nr,Windows 10 Home,2.59 pounds,13.3 x 8.9 x 0.9 inches,13.3 x 8.9 x 0.89 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 18, 2019",$949.99
10,14 inches,1366x768,2.6 GHz AMD A Series,4 GB,500 GB mechanical_hard_drive,AMD Radeon R4,amd,Dedicated,,,ASUS,X441BA,Windows 10,3.97 pounds,13.7 x 9.6 x 1.1 inches,13.7 x 9.6 x 1.1 inches,AMD,2,,Serial ATA,,,1 Lithium Metal batteries required. (included),"June 20, 2019",$199.00
11,14 inches,1920 x 1080 pixels,1.1 GHz Intel Celeron,4 GB DDR4,64 GB Flash Memory Solid State,,intel,Integrated,1,6.5 hours,Acer,Aspire One,Windows 10 Home,3.64 pounds,9.7 x 13.5 x 0.7 inches,9.65 x 13.5 x 0.71 inches,Intel,2,64,Solid State,,No Optical Drive,1 CR5 batteries required. (included),"July 1, 2018",$229.16
12,15.6 inches,1920 x 1080,2.1 GHz Ryzen 5 2600H,16 GB,256 GB SSD,NVIDIA GeForce GTX 1050,NVIDIA,Dedicated,,,HP,850012153498,Windows 10,8 pounds,18 x 12 x 5 inches,18 x 12 x 5 inches,AMD,4,,Solid State,,,,"November 5, 2019",$609.00
13,15.6 inches,,Intel Core i7,16 GB,mechanical_hard_drive,NVIDIA Quadro K2100M,nvidia,Dedicated,,,Dell,,Windows 10 Pro,6.35 pounds,14.8 x 10 x 1 inches,14.8 x 10 x 1 inches,Intel,4,,,,,1 Lithium ion batteries required. (included),"September 21, 2018",
14,14 inches,1920 x 1080,4.6 GHz Core i7 Family,16 GB DDR4,512 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,1,12 hours,Acer,SP314-53N-77AJ,Windows 10 Home,3.75 pounds,12.9 x 9.4 x 0.8 inches,12.95 x 9.41 x 0.78 inches,Intel,4,512.00,Solid State,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"May 24, 2019",$719.99
15,14.1 inches,1920x1080,2 GHz Intel Atom,4 GB DDR3,256 GB SSD,Intel,,Integrated,,9 hours,CHUWI,CHUWI Herobook,Windows 10 Home,3.2 pounds,13.2 x 8.8 x 0.8 inches,13.18 x 8.85 x 0.78 inches,Intel,4,64 GB,Solid State,,,,"January 18, 2019",$229.99
16,12 inches,1920 x 1080,2.6 GHz Intel Core i7,8 GB,256 GB SSD,Intel HD Graphics 5500,intel,integrated,,,Dell,Dell Latitude,Windows 10,6 pounds,,,Intel,2,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"March 18, 2019",$358.89
17,15.6 inches,1920 x 1080 pixels,3.7 GHz AMD R Series,8 GB DDR4,256 GB Flash Memory Solid State,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,2,,ASUS,TUF FX505DT,Windows 10 Home,4.85 pounds,14.2 x 10.3 x 1 inches,14.2 x 10.3 x 1 inches,AMD,4,256.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"August 22, 2019",$599.99
18,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,8 GB,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Lenovo,Lenovo,Windows 10,4.68 pounds,14.5 x 9.9 x 0.8 inches,14.53 x 9.94 x 0.78 inches,Intel,4,256 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"June 7, 2019",$628.99
19,15.6 inches,,2.7 GHz AMD A Series,8 GB DDR,1 TB HDD 5400 rpm,AMD Radeon R7,amd,Dedicated,,,Lenovo,,Windows 10,5.07 pounds,14.8 x 10.2 x 0.4 inches,14.84 x 10.2 x 0.39 inches,AMD,1,,IDE,5400.00,,1 Lithium Metal batteries required. (included),"July 26, 2017",$389.00
20,15.6 inches,1920x1080,1.6 GHz Intel Core i5,12 GB DDR4,1 TB HDD 5400 rpm,Intel HD Graphics 620,Intel,Integrated,,,Dell,Dell 15.6 Laptop,Windows 10,4.81 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.15 x 0.89 inches,Intel,4,256 GB,Serial ATA,5400 RPM,,1 Lithium Polymer batteries required. (included),"May 19, 2018",$609.00
21,15.6 inches,,2.7 GHz AMD A Series,8 GB,500 GB SSD,AMD Radeon R7,amd,Dedicated,,,ASUS,,Windows 10 Pro,5.05 pounds,15 x 10.1 x 1 inches,15 x 10.1 x 1 inches,AMD,4,128 GB,Solid State,,,1 A batteries required. (included),"April 17, 2019",$349.50
22,15.6 inches,,3.5 GHz Core i5 8250U,8 GB,128 GB mechanical_hard_drive,intel,intel,Integrated,,,HP,,Windows 10,4.85 pounds,9.7 x 14.8 x 0.9 inches,9.69 x 14.8 x 0.89 inches,Intel,2,,Solid State,,,1 CR2 batteries required.,"November 26, 2018",$524.00
23,15.6 inches,1920 x 1080,4.5 GHz Intel Core i7,16 GB DDR4,256 GB Flash Memory Solid State,,NVIDIA,Dedicated,4,,Acer,PH315-52-78VL,Windows 10 Home,5.07 pounds,14.2 x 10 x 0.9 inches,14.23 x 10.01 x 0.9 inches,Intel,6,256.00,Solid State,0.01 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"May 1, 2019","$1,089.00"
24,11.6 inches,1366 x 768 pixels,2.1 GHz MediaTek MT8125,4 GB DDR4,Flash Memory Solid State,PowerVR GX6250,Chromebook,Mediatek,,10 hours,Lenovo,100e Chromebook 2nd Gen,Chrome OS,2.66 pounds,11.4 x 8 x 0.8 inches,11.42 x 8.03 x 0.8 inches,Intel,4,16.0,eSATA,5400 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"October 12, 2019",$135.99
25,15.6 inches,1920 x 1080 pixels,1.6 GHz Intel Core i5,8 GB,256 GB Flash Memory Solid State,NVIDIA GeForce MX150,NVIDIA,Dedicated,3,15 hours,Acer,Aspire E series,Windows 10,5.27 pounds,15 x 10.2 x 1.2 inches,15.02 x 10.2 x 1.19 inches,Intel,4,256.0,,,DVD-RW,1 Lithium ion batteries required. (included),"October 16, 2017",
26,11.6 inches,1366 x 768,1.7 GHz Exynos 5000 Series,2 GB DDR3,16 GB flash memory solid state,ARM Mali-T604,,,,7 hours,Samsung,Chromebook,Chrome OS,2.4 pounds,11.4 x 0.7 x 8.2 inches,11.4 x 0.66 x 8.21 inches,Samsung,2,16 GB,Solid State,,,1 Lithium Polymer batteries required. (included),"July 30, 2012",$108.69
27,15.6 inches,1920 x 1080,3.9 GHz Intel Core i5,8 GB DDR4,256 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,3,5 hours,Acer,A515-54-51DJ,Windows 10 Home,3.97 pounds,14.3 x 9.9 x 0.7 inches,14.31 x 9.86 x 0.71 inches,Intel,4,256.00,Solid State,0.1,No Optical Drive,1 Lithium ion batteries required. (included),"May 24, 2019",$449.99
28,15.6 inches,1920 x 1080,3.9 GHz Intel Core i3,4 GB DDR4,128 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,3,,Acer,A515-54-30BQ,Windows 10,3.97 pounds,14.3 x 9.9 x 0.7 inches,14.31 x 9.86 x 0.71 inches,Intel,2,128.00,Solid State,0.1,No Optical Drive,1 Lithium ion batteries required. (included),"May 1, 2019",$379.99
29,14 inches,1366 x 768 pixels,2.3 GHz Pentium,4 GB DDR4,Flash Memory Solid State,,Intel,Integrated,2,8 hours,Lenovo,Flex 14,Windows 10,1.87 pounds,12.9 x 9 x 0.7 inches,12.91 x 9.02 x 0.7 inches,Intel,1,,PCIE x 4,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 10, 2019",$423.00
30,10.1 inches,1024×600,1.2 GHz A33 ARM Cortexâ¢ A7 Quad Core,1 GB DDR3,8 GB,NAD,,,,3 hours,Goldengulf,CLP290,Android,1.76 pounds,11 x 7.5 x 1 inches,11.02 x 7.48 x 1 inches,Allwinner,4,,Ethernet 100Base-T,,,1 Lithium ion batteries required. (included),"August 1, 2019",$138.86
31,15.6 inches,1920x1080,1.3 GHz Intel Core i7,20 GB SO-DIMM,1 TB SSD,Intel Iris Plus Graphics,Intel,,,,HP,850011107799,Windows 10,3.85 pounds,14.1 x 9.5 x 0.7 inches,14.11 x 9.53 x 0.71 inches,Intel,4,,Solid State,,,,"November 11, 2019",$789.00
32,15.6 inches,1366 x 768,2.5 GHz Core i5 8300H,4 GB,128 GB,Intel UHD Graphics 620,amd,Integrated,,4 hours,Lenovo,Lenovo Ideapad,Windows 10,4.41 pounds,14.8 x 10 x 0.9 inches,14.8 x 10 x 0.9 inches,Intel,1,128 GB,Solid State,,,1 Lithium Metal batteries required.,"April 24, 2019",$308.95
33,15.6 inches,1920 x 1080,2.1 GHz Ryzen 5 2600H,12 GB,256 GB SSD,NVIDIA GeForce GTX 1050,NVIDIA,Dedicated,,,HP,850012153306,Windows 10,8 pounds,18 x 12 x 5 inches,18 x 12 x 5 inches,AMD,4,,Solid State,,,,"November 5, 2019",$583.08
34,15.6 inches,1366x768,2.3 GHz Pentium,8 GB,500 GB mechanical_hard_drive,Intel HD Graphics 610,intel,,,,Lenovo,S145,Windows 10,5.5 pounds,14.3 x 9.9 x 0.8 inches,14.3 x 9.9 x 0.78 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"August 9, 2019",$298.00
35,14 inches,1366 x 768,2.3 GHz Pentium,4 GB SDRAM,128 GB flash_memory_solid_state,Intel HD Graphics 610,intel,integrated,,,HP,14-CF0012DX,Windows 10,3.09 pounds,,,Intel,2,128 GB,,,,1 Lithium ion batteries required.,"August 29, 2019",$249.00
36,15.6 inches,,2.4 GHz Core i3 7100U,8 GB DDR,256 GB mechanical_hard_drive,Intel HD Graphics 620,intel,Integrated,,6 hours,HP,,Windows 10,4.41 pounds,,,Intel,2,,Solid State,5400 RPM,,1 Lithium Polymer batteries required. (included),"December 5, 2017",$421.99
37,17.3 inches,1600x900,1.7 GHz Intel Core i7,8 GB SO-DIMM DDR4,1 TB HDD 5400 rpm,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP 17 Non-Touch Commercial Laptop,Windows 10 Home,5.4 pounds,10.7 x 16.3 x 1 inches,10.72 x 16.33 x 0.96 inches,Intel,4,,ATA,5400.00,,1 Lithium Metal batteries required. (included),"November 23, 2018",$537.49
38,15.6 inches,1366 x 768,2.6 GHz AMD A6,8 GB SDRAM,1 TB mechanical_hard_drive,AMD Radeon R4,amd,Dedicated,,,Lenovo,Lenovo,Windows 10,4.41 pounds,14.8 x 10 x 0.9 inches,14.8 x 10 x 0.9 inches,AMD,2,1 TB,Serial ATA,,,1 Lithium ion batteries required. (included),"May 21, 2019",$310.00
39,14 inches,1366 x 768,2.6 GHz Celeron N,4 GB,32 GB SSD,Intel,,Integrated,,,HP,HP 14inch Stream,Windows 10,4.6 pounds,13.3 x 8.9 x 0.7 inches,13.27 x 8.9 x 0.7 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required. (included),"August 26, 2019",$209.99
40,13.5 inches,2256x1504 pixels,3.1 GHz Intel Core i5,4 GB NA,256 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,1,,Microsoft,NA,Windows 10 S,2.76 pounds,0.6 x 12.1 x 8.8 inches,0.57 x 12.13 x 8.79 inches,Intel,2,256.0,Solid State,0.01,No Optical Drive,1 C batteries required. (included),"May 1, 2017",$898.98
41,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,8 GB DDR,128 GB Hybrid,Intel HD Graphics 620,intel,Integrated,,,HP,HP 15.6,Windows 10 Home,4.85 pounds,15 x 10 x 0.9 inches,14.96 x 9.99 x 0.94 inches,Intel,4,128 GB,eSATA,,,1 Lithium ion batteries required. (included),"November 26, 2017",$669.00
42,15.6 inches,3840 x 2160,1.8 GHz Core i7 8550U,16 GB SDRAM,256 GB SSD,NVIDIA GeForce MX130 Graphics,NVIDIA,dedicated,,,Dell,Dell 15.6 2-in-1 4K HD Touch 512GB,Windows 10,6.95 pounds,14.2 x 9.6 x 0.7 inches,14.2 x 9.6 x 0.7 inches,Intel,2,256 GB,Serial ATA,,,,"August 12, 2019",$899.84
43,13.3 inches,1920x1080 pixels,1.6 GHz Intel Core i5,8 GB LPDDR3,256 GB Flash Memory Solid State,Intel UHD Graphics 620,,Integrated,3,,ASUS,ASUS ZenBook,Windows 10 Home,2.5 pounds,12.2 x 8.5 x 0.5 inches,12.2 x 8.5 x 0.5 inches,Intel,4,256.0,Solid State,,No Optical Drive,1 Lithium ion batteries required. (included),"July 13, 2018",$799.99
44,15.6 inches,1920 x 1080 pixels,3.9 GHz Intel Core i5,8 GB DDR4,512 GB Flash Memory Solid State,Intel UHD Graphics 630,Intel,Integrated,2,,ASUS,VivoBook S15,Windows 10 Home,3.97 pounds,14.1 x 9.1 x 0.7 inches,14.1 x 9.1 x 0.7 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"June 8, 2019",$749.00
45,15.6 inches,1920 x 1080,2.7 GHz AMD A Series,32 GB SDRAM,2 TB HDD 5400 rpm,AMD Radeon R7,amd,Dedicated,,6 hours,ASUS,VivoBook,Windows 10,3.7 pounds,14.2 x 9.6 x 0.8 inches,14.2 x 9.6 x 0.76 inches,AMD,4,,Serial ATA,,,1 Lithium ion batteries required.,"August 10, 2019",$551.99
46,15.6 inches,1920x1080,2.7 GHz AMD A Series,8 GB DDR4,128 GB mechanical_hard_drive,AMD Radeon R7,amd,Dedicated,,,ASUS,ASUS VivoBook,Windows 10,5.7 pounds,14.8 x 10.1 x 0.8 inches,14.8 x 10.1 x 0.8 inches,AMD,4,,Solid State,,,,"July 2, 2019",$365.93
47,15.6 inches,1920 x 1080,3.9 GHz Intel Core i3,4 GB DDR4,128 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,3,,Acer,A515-54-30BQ,Windows 10,3.97 pounds,14.3 x 9.9 x 0.7 inches,14.31 x 9.86 x 0.71 inches,Intel,2,128.00,Solid State,0.1,No Optical Drive,1 Lithium ion batteries required. (included),"May 1, 2019",$379.99
48,14 inches,1920 x 1080,1.1 GHz Intel Core i5,4 GB SDRAM,128 GB flash_memory_solid_state,Intel UHD Graphics,Intel,,,5 years,HP,7RP94UA,Windows 10,4.37 pounds,12.8 x 8.9 x 0.7 inches,12.76 x 8.86 x 0.71 inches,Intel,4,,Solid State,,,1 Lithium Polymer batteries required.,"November 10, 2019",$349.00
49,15.6 inches,,1.8 GHz Intel Celeron,4 GB,128 GB flash_memory_solid_state,Intel,Intel,Integrated,,,Lenovo,Lenovo,Windows 10,4.07 pounds,,,Intel,4,128 GB,Solid State,,,1 Lithium ion batteries required.,"July 31, 2019",$239.00
50,15.6 inches,1366 x 768,1.6 GHz Intel Celeron D,2 GB DDR3,16 GB SSD,HD Graphics 400,Intel,Integrated,,7 hours,Acer,CB5-532,Chrome OS,4.3 pounds,10.1 x 15.1 x 1 inches,10.1 x 15.1 x 1 inches,Intel,1,16 GB,Solid State,,,1 Lithium Polymer batteries required.,"March 1, 2017",$151.99
51,17.3 inches,1920 x 1080,2.6 GHz Intel Core i7,32 GB DDR4,1512 GB flash_memory_solid_state,NVIDIA GeForce GTX 1650,NVIDIA,dedicated,,,Computer Upgrade King,9SC-278,Windows 10 Home,4.85 pounds,15.6 x 10.2 x 0.9 inches,15.63 x 10.24 x 0.9 inches,Intel,6,512 GB,,5400.00,,1 Lithium ion batteries required. (included),"April 29, 2019","$1,299.99"
52,15.6 inches,,2.4 GHz Intel Core i5,16 GB,1 TB,Intel UHD Graphics 620,intel,Integrated,,,HP,HP Pavilion,Windows 10,4.21 pounds,9.9 x 14.9 x 0.8 inches,9.93 x 14.88 x 0.78 inches,Intel,4,512 GB,,,,1 Lithium Polymer batteries required.,"December 15, 2018",$657.88
53,15.6 inches,1366 x 768,2.2 GHz Core i3 8130U,12 GB SDRAM,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,6 hours,Lenovo,IdeaPad 330S,Windows 10,4.12 pounds,14.1 x 9.6 x 0.8 inches,14.1 x 9.6 x 0.76 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required.,"October 15, 2019",$375.33
54,15.6 inches,1366 x 768,2.7 GHz Intel Core i3,8 GB DDR,1 TB HDD 5400 rpm,Intel HD Graphics 620,Intel,"Shared, Integrated",2,,Dell,Inspiron,Windows 10 Home,4.85 pounds,15 x 0.9 x 10.2 inches,14.96 x 0.89 x 10.15 inches,Intel,2,,Serial ATA,5400.00,,1 Lithium Polymer batteries required. (included),"August 17, 2017",$399.00
55,14 inches,1366x768,1.1 GHz Intel Core i5,4 GB,128 GB PCIe SSD,Intel UHD Graphics,,,,,Dell,Inspiron,Windows 10,5 pounds,13.3 x 9.5 x 0.8 inches,13.35 x 9.52 x 0.78 inches,Intel,4,,Solid State,,,,"November 19, 2019",$340.60
56,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,16 GB DDR4,256 GB SSD+500GB HDD,Intel UHD Graphics 620,Intel,Integrated,,12.23 hours,Lenovo,E590 Notebook PC,Windows 10 Pro,4.68 pounds,9.9 x 14.5 x 0.8 inches,9.92 x 14.53 x 0.78 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"October 22, 2019",$688.14
57,13.3 inches,1920 x 1080 pixels,3.9 GHz Intel Core i5,8 GB DDR3,512 GB Flash Memory Solid State,Intel HD Graphics 620,Intel,Integrated,3,,ASUS,Asus ZenBook 13,Windows 10 Home,2.5 pounds,12.2 x 8.5 x 0.5 inches,12.2 x 8.5 x 0.5 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 22, 2019",$783.00
58,15.6 inches,1920 x 1080 pixels,3.9 GHz Intel Core i5,8 GB DDR4,256 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,2,,ASUS,Vivobook S15 S512FA,Windows 10 Home,3.97 pounds,14.1 x 9.1 x 0.7 inches,14.1 x 9.1 x 0.71 inches,Intel,4,256.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"July 16, 2019",$649.00
59,10.1 inches,1024×600,1.2 GHz A33 ARM Cortexâ¢ A7 Quad Core,1 GB DDR3,8 GB,NDA,,,,3 hours,Goldengulf,CLP290,Android,1.76 pounds,11 x 7.5 x 1 inches,11.02 x 7.48 x 1 inches,Allwinner,4,,Ethernet 100Base-T,,,1 Lithium ion batteries required. (included),"August 1, 2019",$138.86
60,14 inches,1920 x 1080,2 GHz Celeron N,8 GB,256 GB flash_memory_solid_state,Intel® UHD Graphics 600,,,,8 hours,CHUWI,LapBook Pro,"Windows 10, Linux",3.31 pounds,12.8 x 8.2 x 0.5 inches,12.76 x 8.23 x 0.53 inches,Intel,4,256 GB,Solid State,,,1 Nonstandard Battery batteries required. (included),"July 2, 2019",$379.00
61,13.5 inches,2256x1504 pixels,4 GHz Intel Core i7,16 GB SDRAM,512 GB Flash Memory Solid State,Intel Iris Plus Graphics 640,Intel,Integrated,,,Microsoft,Microsoft Surface,Windows 10 S,6.04 pounds,2.1 x 9.9 x 13.4 inches,2.06 x 9.95 x 13.39 inches,Intel,2,512.0,Solid State,,,,"July 9, 2018",$864.26
62,15.6 inches,1920 x 1080,1.6 GHz Intel Core i5,16 GB SDRAM,256 GB Hybrid,Intel UHD Graphics 620,Intel,Integrated,,7.5 hours,Dell,Inspiron 5000 Home and Business Laptop,Windows 10,4.3 pounds,14.3 x 9.8 x 0.9 inches,14.35 x 9.79 x 0.88 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"August 30, 2019",$605.50
63,,,,,,,,,,,,,,,,,,,,,,,,,$699.00
64,15.6 inches,HD Display,1.6 GHz Core i5 8250U,8 GB,2 TB SSD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP 15.6 Laptop,Windows 10,5.98 pounds,15 x 10 x 0.9 inches,14.96 x 9.99 x 0.94 inches,Intel,4,,Serial ATA,,,1 Lithium ion batteries required. (included),"November 25, 2019",$695.00
65,15.6 inches,1366 x 768,2.4 GHz Intel Core i3,16 GB,1 TB HDD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10,4.52 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"July 23, 2019",$400.73
66,,,,,,,,,,,,,,2.54 pounds,7.9 x 11.3 x 0.7 inches,,,,,,,,1 Lithium Metal batteries required. (included),,$177.99
67,15.6 inches,1366 x 768,2.6 GHz AMD A6,8 GB,1 TB,,amd,integrated,,,HP,HP Pavilion,Windows 10,4.41 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,AMD,2,128 GB,Serial ATA,,,1 Lithium Metal batteries required. (included),"April 10, 2019",$399.00
68,15.6 inches,1366 x 768,2.2 GHz Core i3 8130U,4 GB,128 GB SSD,620,intel,,,,Lenovo,IdeaPad 330S,Windows 10,4.1 pounds,,,Intel,1,128 GB,,,,1 A batteries required. (included),"September 12, 2019",$274.99
69,15.6 inches,1366 x 768,2.6 GHz AMD A Series,8 GB,512 GB flash_memory_solid_state,AMD® RadeonTM R4 Graphics,amd,,,,Lenovo,Ideapad,Windows 10,5 pounds,,,AMD,2,,Serial ATA,,,,"October 3, 2019",$320.00
70,15.6 inches,,2.5 GHz AMD A Series,4 GB SDRAM,500 GB mechanical_hard_drive,AMD Radeon R4,amd,Dedicated,,6.25 hours,HP,15t,Windows 10 Home,4.52 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,AMD,4,,ATA,5400.00,,1 Lithium Metal batteries required.,"January 11, 2018",$345.00
71,15.6 inches,1366 x 768,3.7 GHz AMD A8,16 GB,512 GB SSD,AMD Radeon R5,AMD,,,5 hours,Lenovo,B07WSXWLDH,Windows 10,5.71 pounds,14.8 x 10 x 4.6 inches,14.8 x 10 x 4.63 inches,AMD,2,512 GB,Solid State,,,1 Lithium ion batteries required.,"August 21, 2019",$398.48
72,12.5 inches,1366x768,2.6 GHz Intel Core i7,16 GB,512 GB flash_memory_solid_state,Intel HD Graphics 5500,intel,Dedicated,,,Dell,Latitude,Windows 10 Pro,7.2 pounds,12.2 x 8.3 x 0.8 inches,12.2 x 8.3 x 0.8 inches,Intel,2,,Solid State,,,1 Lithium ion batteries required. (included),"September 5, 2019",$429.99
73,14 inches,1920 x 1080 pixels,4.6 GHz Intel Core i7,8 GB DDR4,512 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,2,,ASUS,Vivobook S14 S432FA,Windows 10 Home,3.2 pounds,12.7 x 8.3 x 0.7 inches,12.7 x 8.3 x 0.7 inches,Intel,4,512.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"July 16, 2019",$749.99
74,14 inches,1920 x 1080 pixels,3.4 GHz core_m,8 GB DDR3L,64 GB Embedded MultiMediaCard,Intel HD Graphics 615,NVIDIA,Integrated,3,,ASUS,Chromebook C425,Chrome OS,2.9 pounds,12.6 x 8.2 x 0.7 inches,12.6 x 8.2 x 0.7 inches,Intel,2,64.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"August 22, 2019",$319.99
75,15.6 inches,1366 x 768,2 GHz Ryzen 5 2500U,20 GB SO-DIMM,256 GB SSD,AMD Radeon Vega 8,amd,,,,Lenovo,IdeaPad,Windows 10,3.96 pounds,9.6 x 14 x 0.6 inches,9.6 x 14 x 0.6 inches,AMD,4,,Solid State,,,1 Lithium ion batteries required. (included),"November 8, 2019",$569.99
